codigo_uc;nome_uc;categoria_manejo;area_ha;grupo;ano;grupo_norm
2014;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL REFÚGIO DO GUIGÓ I E II;Reserva Particular do Patrimônio Natural;93.0;US;2022;US
2018;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BRONZON;Reserva Particular do Patrimônio Natural;151.0;US;2022;US
2028;ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPELAGO DE SANTANA;Área de Proteção Ambiental;47319.0;US;2022;US
2030;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOZI;Reserva Particular do Patrimônio Natural;36.0;US;2022;US
2031;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LEMBRANÇA;Reserva Particular do Patrimônio Natural;19.0;US;2022;US
2034;PARQUE NATURAL MUNICIPAL JARDIM JUREMA;Parque;7.0;PI;2022;PI
2035;PARQUE NATURAL MUNICIPAL ATALAIA GUALTER CORRÊA DE FARIA;Parque;704.0;PI;2022;PI
2036;PARQUE NATURAL MUNICIPAL DO ESTUÁRIO DO RIO MACAÉ;Parque;128.0;PI;2022;PI
2039;PARQUE NATURAL MUNICIPAL GOIAPABA-AÇU;Parque;235.0;PI;2022;PI
2042;PARQUE ESTADUAL CHARAPUCU;Parque;65348.0;PI;2022;PI
2047;ÀREA DE PROTEÇÃO AMBIENTAL DO SANA;Área de Proteção Ambiental;11000.0;US;2022;US
2049;PARQUE NATURAL MUNICIPAL CARIJÓS;Parque;40.0;PI;2022;PI
2050;PARQUE NATURAL MUNICIPAL DOS CORAIS DE ARMAÇÃO DOS BÚZIOS;Parque;57.0;PI;2022;PI
2054;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO DEGREDO;Área de Relevante Interesse Ecológico;2357.0;US;2022;US
2056;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PIANISSOLI;Reserva Particular do Patrimônio Natural;210.0;US;2022;US
2057;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ENGELHARDT;Reserva Particular do Patrimônio Natural;393.0;US;2022;US
2063;ÁREA DE PROTEÇÃO AMBIENTAL SANTOS CONTINENTE;Área de Proteção Ambiental;18416.0;US;2022;US
2070;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOA UNIÃO;Reserva Particular do Patrimônio Natural;113.0;US;2022;US
2071;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO II;Reserva Particular do Patrimônio Natural;54.0;US;2022;US
2072;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO III;Reserva Particular do Patrimônio Natural;26.0;US;2022;US
2077;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAHY;Reserva Particular do Patrimônio Natural;496.0;US;2022;US
