grupo;n;delta_pct_mediana;delta_pct_media;area_inicial_mediana;area_final_mediana
US;517;0.0;0.0035676860803286812;359.0;356.8394146
PI;260;7.837394819831261e-07;0.023397575150121024;747.75;727.922982
