ID_UC,Código UC,Informações Gerais,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN,UF,Ano de Criação,Ano do ato legal mais recente,Ato Legal de Criação,Outros atos legais,Municípios Abrangidos,Plano de Manejo,Conselho Gestor,Órgão Gestor,"Fonte da Área: (1 = SHP, 0 = Ato legal)",Área soma biomas,Área soma Biomas Continental,Área Ato Legal de Criação,Bioma Área (ha),Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Área Marinha,Bioma declarado,Grupo,PI,US,Recortes (ha),Mar Territorial,Município Costeiro,Município Costeiro + Área Marinha,Programa/Projeto,Sítios do Patrimônio Mundial,Sítios Ramsar,Mosaico,Reserva da Biosfera,Qualidade dos dados georreferenciados,Data da última certificação dos dados pelo Órgão Gestor
17,0000.00.0017,,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,Federal,Área de Proteção Ambiental,Category V,PR,1985,1997,Decreto 90883 de 31/01/1985,Redução: Lei ordinária 9.513 Art 3 de 20/11/1997,ANTONINA (PR) - CAMPINA GRANDE DO SUL (PR) - GUARAQUEÇABA (PR) - PARANAGUÁ (PR),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,245640.9079,245640.9079,282444,,0,0,0,245640.9079,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico do Litoral de São Paulo e Paraná (Lagamar),RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
18,0000.00.0018,,ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,Federal,Área de Proteção Ambiental,Category V,AL,1983,1983,Decreto 88421 de 21/06/1983,Sem informação.,FELIZ DESERTO (AL) - PIAÇABUÇU (AL),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,9107.105288,9042.261962,9143,,0,0,0,9042.261962,0,0,64.84332549,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
19,0000.00.0019,,ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA,Federal,Área de Proteção Ambiental,Category V,"CE, MA, PI",1996,1996,Decreto S/N de 28/08/1996,Sem informação.,ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - BARROQUINHA (CE) - CAJUEIRO DA PRAIA (PI) - CHAVAL (CE) - ILHA GRANDE (PI) - LUÍS CORREIA (PI) - PARNAÍBA (PI) - PAULINO NEVES (MA) - TUTÓIA (MA),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,309589.6125,223653.47,313800,,0,85634.496,138018.974,0,0,0,85936.14247,Cerrado,Uso Sustentável,0,1,,1,1,1,GEF Mar,,Sítios Ramsar,,"RB - Caatinga, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
29,0000.00.0029,,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,Federal,Área de Proteção Ambiental,Category V,"CE, PI",1996,1996,Decreto s/n de 26/11/1996,Sem informação.,BOM PRINCÍPIO DO PIAUÍ (PI) - BRASILEIRA (PI) - BURITI DOS LOPES (PI) - CHAVAL (CE) - COCAL (PI) - CONCEIÇÃO DO CANINDÉ (PI) - DOMINGOS MOURÃO (PI) - GRANJA (CE) - LAGOA DE SÃO FRANCISCO (PI) - MORAÚJO (CE) - PEDRO II (PI) - PIRACURUCA (PI) - PIRIPIRI (PI) - TIANGUÁ (CE) - VIÇOSA DO CEARÁ (CE),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,1628450.312,1628450.312,1592550,,0,984977.766,643472.546,0,0,0,0,Caatinga,Uso Sustentável,0,1,,0,1,1,,,,,"RB - Caatinga, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
34,0000.00.0034,,MONUMENTO NATURAL DAS ILHAS CAGARRAS,Federal,Monumento Natural,Category III,RJ,1989,2010,Resolução 11 de 14/09/1989,Recategorização: Decreto S/N.º de 13/04/2010,NITERÓI (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,91.19849516,63.23903329,0,,0,0,0,63.23903329,0,0,27.95946187,Mata Atlântica,Proteção Integral,1,0,,1,1,1,,,,Mosaico Carioca,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
36,0000.00.0036,,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL,Federal,Área de Relevante Interesse Ecológico,Category IV,SP,1985,1985,Decreto 91889 de 05/11/1985,Sem informação.,PERUÍBE (SP),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,358.8910028,358.8910028,79830,,0,0,0,358.8910028,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico do Litoral de São Paulo e Paraná (Lagamar),RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
37,0000.00.0037,,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA,Federal,Área de Relevante Interesse Ecológico,Category IV,SP,1985,1985,Decreto 91887 de 05/11/1985,Sem informação.,PERUÍBE (SP),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,65.17496205,52.75622182,33,,0,0,0,52.75622182,0,0,12.41874023,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,Mosaico do Litoral de São Paulo e Paraná (Lagamar),"RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica",Polígono corresponde ao memorial descritivo,"sexta-feira, 26 de agosto de 2011"
39,0000.00.0039,,ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,Federal,Área de Relevante Interesse Ecológico,Category IV,PB,1985,1985,Decreto 91.890 de 05/11/1985,Sem informação.,MARCAÇÃO (PB) - RIO TINTO (PB),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,5769.547699,5768.188132,5721,,0,0,0,5768.188132,0,0,1.359567522,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
52,0000.00.0052,,ESTAÇÃO ECOLÓGICA DE CARIJÓS,Federal,Estação Ecológica,Category Ia,SC,1987,1987,Decreto 94656 de 20/07/1987,Sem informação.,FLORIANÓPOLIS (SC),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,759.3440729,740.513676,618.7,,0,0,0,740.513676,0,0,18.8303969,Mata Atlântica,Proteção Integral,1,0,,1,1,1,,,,,RB - Mt Atlântica,Polígono corresponde ao memorial descritivo,"sexta-feira, 26 de agosto de 2011"
54,0000.00.0054,,ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,Federal,Estação Ecológica,Category Ia,PR,1982,1997,Decreto 87.222 de 31/05/1982,Ampliação: Decreto 93.053 de 31/07/1986 - Revisão dos limites: Lei ordinária 9.513 de 20/11/1997,GUARAQUEÇABA (PR),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,4370.144871,4357.396461,13638.9,,0,0,0,4357.396461,0,0,12.74841052,Mata Atlântica,Proteção Integral,1,0,,1,1,1,,Reservas de Mata Atlântica do Sudeste (natural),Sítios Ramsar,Mosaico do Litoral de São Paulo e Paraná (Lagamar),RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
