ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;Grupo;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;Reserva da Biosfera;Biomas Abrangidos
58;0000.00.0058;;ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;Federal;Estação Ecológica;Category Ia;AP;1981;1981;Decreto 86061 de 02/06/1981;;Amapá (AP);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;58.756;54.567;72000;;54.567;0;0;0;0;0;4.189;Amazônia;PI;;1;1;1;ARPA;;Sítios Ramsar;;;Amazônia, Área Marinha
59;0000.00.0059;;ESTAÇÃO ECOLÓGICA DE MURICI;Federal;Estação Ecológica;Category Ia;AL;2001;2001;Decreto S/N de 28/05/2001;;Murici (AL), Messias (AL), Flexeiras (AL);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;6.131;6.131;6116;;0;0;0;6.131;0;0;0;Mata Atlântica;PI;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
63;0000.00.0063;;ESTAÇÃO ECOLÓGICA DE TAMOIOS;Federal;Estação Ecológica;Category Ia;RJ;1990;1990;Decreto 98864 de 23/01/1990;;Angra dos Reis (RJ), Parati (RJ);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;8.660;318;700;;0;0;0;318;0;0;8.343;Marinho;PI;;1;1;1;;;;Mosaico Bocaina;RB - Mata Atlântica;Mata Atlântica, Área Marinha
64;0000.00.0064;;ESTAÇÃO ECOLÓGICA TUPINAMBÁS;Federal;Estação Ecológica;Category Ia;SP;1987;1987;Decreto 94656 de 20/07/1987;;São Sebastião (SP), Ubatuba (SP);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;2.464;23;28;;0;0;0;23;0;0;2.440;Marinho;PI;;1;1;1;;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
67;0000.00.0067;;ESTAÇÃO ECOLÓGICA DO JARI;Federal;Estação Ecológica;Category Ia;AP, PA;1982;1984;Decreto 87092 de 12/04/1982;"Ampliação - Decreto 89440 de 13/03/1984;";Laranjal do Jari (AP), Almeirim (PA);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;231.109;231.109;207370;;231.109;0;0;0;0;0;0;Amazônia;PI;;0;1;1;ARPA;;;;;Amazônia
70;0000.00.0070;;ESTAÇÃO ECOLÓGICA DO TAIM;Federal;Estação Ecológica;Category Ia;RS;1986;2017;Decreto 92963 de 21/07/1986;"Ampliação - Decreto S/N de 05/06/2017;";Rio Grande (RS), Santa Vitória do Palmar (RS);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;32.806;32.805;10939;;0;0;0;0;32.805;0;0;Pampa;PI;;0;1;1;;;Sítios Ramsar;;RB - Mata Atlântica;Pampa, Área Marinha
71;0000.00.0071;;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;Federal;Estação Ecológica;Category Ia;SP;1986;1986;Decreto 92964 de 21/07/1986;;Cananéia (SP), Itanhaém (SP), Peruíbe (SP);Sim;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;1.728;33;43;;0;0;0;33;0;0;1.695;Marinho;PI;;1;1;1;;;;Mosaico do Litoral de São Paulo e Paraná (Lagamar);RB - Cinturão Verde da Cidade de São Paulo, RB - Mata Atlântica;Mata Atlântica, Área Marinha
89;0000.00.0089;;FLORESTA NACIONAL DE CAXIUANÃ;Federal;Floresta;Category VI;PA;1961;1961;Decreto 239 de 28/11/1961;;Gurupá (PA), Melgaço (PA), Portel (PA), Porto de Moz (PA);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;317.945;317.945;200000;;317.945;0;0;0;0;0;0;Amazônia;US;;0;1;1;;;;;;Amazônia
91;0000.00.0091;;FLORESTA NACIONAL DE GOYTACAZES;Federal;Floresta;Category VI;ES;2002;2012;Decreto S/N de 28/11/2002;"Ampliação - Decreto S/N de 05/06/2012;";Linhares (ES);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;1.426;1.426;1350;;0;0;0;1.426;0;0;0;Mata Atlântica;US;;0;1;1;;;;Mosaico da Foz do Rio doce;RB - Mata Atlântica;Mata Atlântica
100;0000.00.0100;;FLORESTA NACIONAL DE NÍSIA FLORESTA;Federal;Floresta;Category VI;RN;2001;2001;Decreto S/N de 27/09/2001;;Nísia Floresta (RN);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;169;169;174;;0;0;0;169;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
113;0000.00.0113;;FLORESTA NACIONAL DE AMAPÁ;Federal;Floresta;Category VI;AP;1989;1989;Decreto 97630 de 10/04/1989;;Amapá (AP), Calçoene (AP), Ferreira Gomes (AP), Porto Grande (AP), Serra do Navio (AP), Tartarugalzinho (AP), Pracuúba (AP);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;460.360;460.360;412000;;460.360;0;0;0;0;0;0;Amazônia;US;;0;1;1;;;;Mosaico do Oeste do Amapá e Norte do Pará;;Amazônia
122;0000.00.0122;;FLORESTA NACIONAL DE RIO PRETO;Federal;Floresta;Category VI;ES;1990;1990;Decreto 98845 de 17/01/1990;;Conceição da Barra (ES);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;2.817;2.817;2830;;0;0;0;2.817;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
127;0000.00.0127;;FLORESTA NACIONAL DE MÁRIO XAVIER;Federal;Floresta;Category VI;RJ;1986;1986;Decreto 93369 de 08/10/1986;;Seropédica (RJ);Não;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;496;496;493;;0;0;0;496;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
132;0000.00.0132;;FLORESTA NACIONAL DA RESTINGA DE CABEDELO;Federal;Floresta;Category VI;PB;2004;2004;Decreto S/N de 02/06/2004;;Cabedelo (PB), João Pessoa (PB);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;115;115;103;;0;0;0;115;0;0;0;Mata Atlântica;US;;0;1;1;;;;;RB - Mata Atlântica;Mata Atlântica
140;0000.00.0140;;PARQUE NACIONAL DA LAGOA DO PEIXE;Federal;Parque;Category II;RS;1986;1986;Decreto 93546 de 06/11/1986;;Mostardas (RS), São José do Norte (RS), Tavares (RS);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;36.716;32.494;34400;;0;0;0;0;32.494;0;4.222;Pampa;PI;;1;1;1;GEF Mar;;Sítios Ramsar;;RB - Mata Atlântica;Pampa, Área Marinha
141;0000.00.0141;;PARQUE NACIONAL RESTINGA DE JURUBATIBA;Federal;Parque;Category II;RJ;1998;1998;Decreto 39201 de 29/04/1998;;Quissamã (RJ), Macaé (RJ), Carapebus (RJ);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;14.919;14.872;14863;;0;0;0;14.872;0;0;48;Marinho;PI;;1;1;1;;;;;RB - Mata Atlântica;Mata Atlântica, Área Marinha
142;0000.00.0142;;PARQUE NACIONAL DA SERRA DA BOCAINA;Federal;Parque;Category II;RJ, SP;1971;1972;Decreto 68172 de 04/02/1971;"Redução - Decreto 70694 de 08/06/1972;";Angra dos Reis (RJ), Parati (RJ), Areias (SP), Cunha (SP), São José do Barreiro (SP), Ubatuba (SP);Sim;Sim;Instituto Chico Mendes de Conservação da Biodiversidade;1;106.565;106.402;134000;;0;0;0;106.402;0;0;163;Mata Atlântica;PI;;1;1;1;;;;Mosaico Bocaina;RB - Mata Atlântica;Mata Atlântica, Área Marinha
147;0000.00.0147;;PARQUE NACIONAL DA SERRA DE ITABAIANA;Federal;Parque;Category II;SE;2005;2005;Decreto S/N de 15/06/2005;;Areia Branca (SE), Campo do Brito (SE), Itabaiana (SE), Itaporanga D'Ajuda (SE), Laranjeiras (SE), Malhador (SE);Não;Não;Instituto Chico Mendes de Conservação da Biodiversidade;1;8.025;8.025;8030;;0;2;0;8.023;0;0;0;Mata Atlântica;PI;;0;1;1;;;;;RB - Mata Atlântica;Caatinga, Mata Atlântica
