Código UC;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área (ha);Área (ha) Amazônia;Área (ha) Caatinga;Área (ha) Cerrado;Área (ha) Mata Atlântica;Área (ha) Pampa;Área (ha) Pantanal;Área (ha) Área Marinha
0000.00.0037;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;Decreto 91887 de 05/11/1985;-;Peruíbe (SP);Não;Não;65;0;0;0;0;0;0;65
0000.00.0039;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;Federal;Área de Relevante Interesse Ecológico;Category IV;PB;1985;Decreto 91890 de 05/11/1985;-;Marcação (PB), Rio Tinto (PB);Não;Não;5.769;0;0;0;5.483;0;0;286
0000.00.0052;ESTAÇÃO ECOLÓGICA DE CARIJÓS;Federal;Estação Ecológica;Category Ia;SC;1987;Decreto 94656 de 20/07/1987;-;Florianópolis (SC);Sim;Sim;759;0;0;0;759;0;0;0
0000.00.0054;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;Federal;Estação Ecológica;Category Ia;PR;1982;Decreto 87222 de 31/05/1982;"Ampliação - Decreto 93053 de 31/07/1986 ; Revisão dos limites - Lei ordinária 9513 de 20/11/1997";Guaraqueçaba (PR);Não;Sim;4.370;0;0;0;4.357;0;0;13
0000.00.0058;ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;Federal;Estação Ecológica;Category Ia;AP;1981;Decreto 86061 de 02/06/1981;-;Amapá (AP);Sim;Sim;58.756;56.513;0;0;0;0;0;2.243
0000.00.0059;ESTAÇÃO ECOLÓGICA DE MURICI;Federal;Estação Ecológica;Category Ia;AL;2001;Decreto S/N de 28/05/2001;-;Murici (AL), Messias (AL), Flexeiras (AL);Sim;Sim;6.132;0;0;0;6.132;0;0;0
0000.00.0063;ESTAÇÃO ECOLÓGICA DE TAMOIOS;Federal;Estação Ecológica;Category Ia;RJ;1990;Decreto 98864 de 23/01/1990;-;Angra dos Reis (RJ), Parati (RJ);Sim;Sim;8.660;0;0;0;192;0;0;8.469
0000.00.0064;ESTAÇÃO ECOLÓGICA TUPINAMBÁS;Federal;Estação Ecológica;Category Ia;SP;1987;Decreto 94656 de 20/07/1987;-;São Sebastião (SP), Ubatuba (SP);Sim;Sim;2.464;0;0;0;27;0;0;2.437
0000.00.0067;ESTAÇÃO ECOLÓGICA DO JARI;Federal;Estação Ecológica;Category Ia;AP, PA;1982;Decreto 87092 de 12/04/1982;Ampliação - Decreto 89440 de 13/03/1984;Laranjal do Jari (AP), Almeirim (PA);Não;Sim;231.087;231.087;0;0;0;0;0;0
0000.00.0070;ESTAÇÃO ECOLÓGICA DO TAIM;Federal;Estação Ecológica;Category Ia;RS;1986;Decreto 92963 de 21/07/1986;Ampliação - Decreto S/N de 05/06/2017;Rio Grande (RS), Santa Vitória do Palmar (RS);Não;Sim;32.110;0;0;0;0;31.898;0;213
0000.00.0071;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;Federal;Estação Ecológica;Category Ia;SP;1986;Decreto 92964 de 21/07/1986;-;Cananéia (SP), Itanhaém (SP), Peruíbe (SP);Sim;Não;1.728;0;0;0;82;0;0;1.646
0000.00.0089;FLORESTA NACIONAL DE CAXIUANÃ;Federal;Floresta;Category VI;PA;1961;Decreto 239 de 28/11/1961;-;Gurupá (PA), Melgaço (PA), Portel (PA), Porto de Moz (PA);Não;Não;317.947;317.947;0;0;0;0;0;0
0000.00.0091;FLORESTA NACIONAL DE GOYTACAZES;Federal;Floresta;Category VI;ES;2002;Decreto S/N de 28/11/2002;Ampliação - Decreto S/N de 05/06/2012;Linhares (ES);Não;Sim;1.426;0;0;0;1.426;0;0;0
0000.00.0100;FLORESTA NACIONAL DE NÍSIA FLORESTA;Federal;Floresta;Category VI;RN;2001;Decreto S/N de 27/09/2001;-;Nísia Floresta (RN);Não;Sim;169;0;0;0;169;0;0;0
0000.00.0113;FLORESTA NACIONAL DE AMAPÁ;Federal;Floresta;Category VI;AP;1989;Decreto 97630 de 10/04/1989;-;Amapá (AP), Calçoene (AP), Ferreira Gomes (AP), Porto Grande (AP), Serra do Navio (AP), Tartarugalzinho (AP), Pracuúba (AP);Não;Sim;460.359;460.359;0;0;0;0;0;0
0000.00.0122;FLORESTA NACIONAL DE RIO PRETO;Federal;Floresta;Category VI;ES;1990;Decreto 98845 de 17/01/1990;-;Conceição da Barra (ES);Não;Não;2.817;0;0;0;2.817;0;0;0
0000.00.0127;FLORESTA NACIONAL DE MÁRIO XAVIER;Federal;Floresta;Category VI;RJ;1986;Decreto 93369 de 08/10/1986;-;Seropédica (RJ);Não;Sim;496;0;0;0;496;0;0;0
0000.00.0132;FLORESTA NACIONAL DA RESTINGA DE CABEDELO;Federal;Floresta;Category VI;PB;2004;Decreto S/N de 02/06/2004;-;Cabedelo (PB), João Pessoa (PB);Sim;Sim;115;0;0;0;115;0;0;0
0000.00.0140;PARQUE NACIONAL DA LAGOA DO PEIXE;Federal;Parque;Category II;RS;1986;Decreto 93546 de 06/11/1986;-;Mostardas (RS), São José do Norte (RS), Tavares (RS);Sim;Sim;36.722;0;0;0;0;32.544;0;4.177
0000.00.0141;PARQUE NACIONAL RESTINGA DE JURUBATIBA;Federal;Parque;Category II;RJ;1998;Decreto 39201 de 29/04/1998;-;Quissamã (RJ), Macaé (RJ), Carapebus (RJ);Sim;Sim;14.919;0;0;0;14.653;0;0;267
0000.00.0142;PARQUE NACIONAL DA SERRA DA BOCAINA;Federal;Parque;Category II;RJ, SP;1971;Decreto 68172 de 04/02/1971;Redução - Decreto 70694 de 08/06/1972;Angra dos Reis (RJ), Parati (RJ), Areias (SP), Cunha (SP), São José do Barreiro (SP), Ubatuba (SP);Sim;Sim;106.565;0;0;0;106.395;0;0;170
0000.00.0147;PARQUE NACIONAL DA SERRA DE ITABAIANA;Federal;Parque;Category II;SE;2005;Decreto S/N de 15/06/2005;-;Areia Branca (SE), Campo do Brito (SE), Itabaiana (SE), Itaporanga D'Ajuda (SE), Laranjeiras (SE), Malhador (SE);Não;Não;8.025;0;0;0;8.025;0;0;0
0000.00.0152;PARQUE NACIONAL DA SERRA DOS ORGÃOS;Federal;Parque;Category II;RJ;1939;Decreto 1822 de 30/11/1939;"Ampliação - Decreto S/N de 13/09/2008 ; Revisão dos limites - Decreto 90023 de 02/08/1984";Teresópolis (RJ), Petrópolis (RJ), Magé (RJ), Guapimirim (RJ);Sim;Sim;20.021;0;0;0;20.021;0;0;0
0000.00.0154;PARQUE NACIONAL DA TIJUCA;Federal;Parque;Category II;RJ;1961;Decreto 50923 de 06/07/1961;"Alteração de nome - Decreto 60183 de 08/02/1967 ; Ampliação - Decreto S/N de 03/06/2004 ; Revisão dos limites - Decreto 70186 de 23/02/1972";Rio de Janeiro (RJ);Sim;Sim;3.958;0;0;0;3.958;0;0;0
0000.00.0162;PARQUE NACIONAL DE JERICOACOARA;Federal;Parque;Category II;CE;2002;Decreto S/N de 04/02/2002;Revisão dos limites - Lei ordinária 11486 de 15/06/2007;Jijoca de Jericoacoara (CE), Cruz (CE);Sim;Sim;8.863;0;6.502;0;0;0;0;2.361
0000.00.0164;PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;Federal;Parque;Category II;PR;2001;Lei ordinária 10227 de 23/05/2001;-;Guaratuba (PR), Matinhos (PR), Morretes (PR), Paranaguá (PR);Não;Sim;24.352;0;0;0;24.352;0;0;0
0000.00.0169;PARQUE NACIONAL DO CABO ORANGE;Federal;Parque;Category II;AP;1980;Decreto 84913 de 15/07/1980;-;Calçoene (AP), Oiapoque (AP);Sim;Sim;657.320;436.690;0;0;0;0;0;220.630
0000.00.0171;PARQUE NACIONAL DO DESCOBRIMENTO;Federal;Parque;Category II;BA;1999;Decreto S/N de 20/04/1999;Ampliação - Decreto S/N de 05/06/2012;Prado (BA);Não;Sim;22.694;0;0;0;22.694;0;0;0
0000.00.0176;PARQUE NACIONAL PAU BRASIL;Federal;Parque;Category II;BA;1999;Decreto S/N de 20/04/1999;Ampliação - Decreto S/Nº de 11/06/2010;Porto Seguro (BA);Não;Sim;18.934;0;0;0;18.934;0;0;0
0000.00.0178;PARQUE NACIONAL DO SUPERAGUI;Federal;Parque;Category II;PR;1989;Decreto 97688 de 25/04/1989;Ampliação - Lei ordinária 9513 de 20/11/1997;Guaraqueçaba (PR);Não;Sim;33.860;0;0;0;33.326;0;0;535
0000.00.0180;PARQUE NACIONAL DOS LENÇOIS MARANHENSES;Federal;Parque;Category II;MA;1981;Decreto 86060 de 02/06/1981;-;Primeira Cruz (MA), Barreirinhas (MA);Sim;Não;156.606;0;0;148.877;0;0;0;7.729
0000.00.0182;PARQUE NACIONAL DO MONTE PASCOAL;Federal;Parque;Category II;BA;1961;Decreto 242 de 29/11/1961;Alteração de nome - Decreto 3421 de 20/04/2000;Porto Seguro (BA), Prado (BA);Não;Não;22.240;0;0;0;22.187;0;0;53
0000.00.0185;PARQUE NACIONAL MARINHO DOS ABROLHOS;Federal;Parque;Category II;BA;1983;Decreto 88218 de 06/04/1983;-;Alcobaça (BA), Caravelas (BA);Sim;Sim;87.942;0;0;0;0;0;0;87.942
0000.00.0186;PARQUE NACIONAL MAR. DE FERNANDO DE NORONHA;Federal;Parque;Category II;PE;1988;Decreto 96693 de 14/10/1988;-;Fernando de Noronha (PE);Não;Sim;10.929;0;0;0;0;0;0;10.929
0000.00.0187;PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;Federal;Parque;Category II;AP, PA;2002;Decreto S/N de 22/08/2002;-;Laranjal do Jari (AP), Serra do Navio (AP), Oiapoque (AP), Calçoene (AP), Almeirim (PA);Sim;Sim;3.834.912;3.834.912;0;0;0;0;0;0
0000.00.0195;RESERVA BIOLÓGICA DE COMBOIOS;Federal;Reserva Biológica;Category Ia;ES;1984;Decreto 90222 de 25/09/1984;-;Aracruz (ES), Linhares (ES);Sim;Não;785;0;0;0;646;0;0;138
0000.00.0196;RESERVA BIOLÓGICA GUARIBAS;Federal;Reserva Biológica;Category Ia;PB;1990;Decreto 98884 de 25/01/1990;-;Rio Tinto (PB), Mamanguape (PB);Sim;Sim;4.052;0;0;0;4.052;0;0;0
0000.00.0198;RESERVA BIOLÓGICA DE SALTINHO;Federal;Reserva Biológica;Category Ia;PE;1983;Decreto 88744 de 21/09/1983;-;Rio Formoso (PE), Tamandaré (PE);Sim;Sim;563;0;0;0;563;0;0;0
0000.00.0199;RESERVA BIOLÓGICA DE SANTA ISABEL;Federal;Reserva Biológica;Category Ia;SE;1988;Decreto 96999 de 20/10/1988;-;Pacatuba (SE), Pirambu (SE);Não;Não;4.110;0;0;0;1.898;0;0;2.212
0000.00.0201;RESERVA BIOLÓGICA DE SOORETAMA;Federal;Reserva Biológica;Category Ia;ES;1982;Decreto 87588 de 20/09/1982;-;Jaguaré (ES), Linhares (ES), Vila Valério (ES), Sooretama (ES);Não;Sim;27.859;0;0;0;27.859;0;0;0
0000.00.0202;RESERVA BIOLÓGICA DE UNA;Federal;Reserva Biológica;Category Ia;BA;1980;Decreto 85463 de 10/12/1980;Ampliação - Decreto S/N de 21/12/2007;Una (BA);Sim;Sim;18.725;0;0;0;18.725;0;0;0
0000.00.0203;RESERVA BIOLÓGICA ATOL DAS ROCAS;Federal;Reserva Biológica;Category Ia;RN;1979;Decreto 83549 de 05/06/1979;-;Natal (RN);Sim;Não;35.186;0;0;0;0;0;0;35.186
0000.00.0205;RESERVA BIOLÓGICA DO CÓRREGO GRANDE;Federal;Reserva Biológica;Category Ia;BA, ES;1989;Decreto 97657 de 12/04/1989;-;Mucuri (BA), Conceição da Barra (ES);Sim;Sim;1.504;0;0;0;1.504;0;0;0
0000.00.0209;RESERVA BIOLÓGICA DO LAGO PIRATUBA;Federal;Reserva Biológica;Category Ia;AP;1980;Decreto 84914 de 16/07/1980;Revisão dos limites - Decreto 89932 de 10/07/1984;Pracuúba (AP), Tartarugalzinho (AP), Amapá (AP);Não;Sim;392.469;391.478;0;0;0;0;0;991
