Código UC,Nome da UC,Municípios Abrangidos
0000.00.0132,FLORESTA NACIONAL DA RESTINGA DE CABEDELO,CABEDELO (PB) - JOÃO PESSOA (PB)
0000.00.0140,PARQUE NACIONAL DA LAGOA DO PEIXE,MOSTARDAS (RS) - TAVARES (RS)
0000.00.0141,PARQUE NACIONAL RESTINGA DE JURUBATIBA,CARAPEBUS (RJ) - MACAÉ (RJ) - QUISSAMÃ (RJ)
0000.00.0142,PARQUE NACIONAL DA SERRA DA BOCAINA,ANGRA DOS REIS (RJ) - AREIAS (SP) - CUNHA (SP) - PARATY (RJ) - SÃO JOSÉ DO BARREIRO (SP) - UBATUBA (SP)
0000.00.0147,PARQUE NACIONAL SERRA DE ITABAIANA,AREIA BRANCA (SE) - CAMPO DO BRITO (SE) - ITABAIANA (SE) - ITAPORANGA D'AJUDA (SE) - LARANJEIRAS (SE) - MALHADOR (SE)
0000.00.0152,PARQUE NACIONAL DA SERRA DOS ÓRGÃOS,GUAPIMIRIM (RJ) - MAGÉ (RJ) - PETRÓPOLIS (RJ) - TERESÓPOLIS (RJ)
0000.00.0154,PARQUE NACIONAL DA TIJUCA,RIO DE JANEIRO (RJ)
0000.00.0162,PARQUE NACIONAL DE JERICOACOARA,CRUZ (CE) - JIJOCA DE JERICOACOARA (CE)
0000.00.0164,PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,GUARATUBA (PR) - MATINHOS (PR) - MORRETES (PR) - PARANAGUÁ (PR)
0000.00.0169,PARQUE NACIONAL DO CABO ORANGE,CALÇOENE (AP) - OIAPOQUE (AP)
0000.00.0171,PARQUE NACIONAL DO DESCOBRIMENTO,PRADO (BA)
0000.00.0176,PARQUE NACIONAL DO PAU BRASIL,PORTO SEGURO (BA)
0000.00.0178,PARQUE NACIONAL DO SUPERAGUI,GUARAQUEÇABA (PR)
0000.00.0180,PARQUE NACIONAL DOS LENÇÓIS MARANHENSES,BARREIRINHAS (MA) - PRIMEIRA CRUZ (MA) - SANTO AMARO DO MARANHÃO (MA)
0000.00.0182,PARQUE NACIONAL E HISTÓRICO DO MONTE PASCOAL,PORTO SEGURO (BA)
0000.00.0185,PARQUE NACIONAL MARINHO DOS ABROLHOS,ALCOBAÇA (BA) - CARAVELAS (BA)
0000.00.0186,PARQUE NACIONAL MARINHO DE FERNANDO DE NORONHA,FERNANDO DE NORONHA (PE)
0000.00.0187,PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,ALMEIRIM (PA) - CALÇOENE (AP) - LARANJAL DO JARI (AP) - OIAPOQUE (AP) - PEDRA BRANCA DO AMAPARI (AP) - SERRA DO NAVIO (AP)
0000.00.0195,RESERVA BIOLÓGICA DE COMBOIOS,ARACRUZ (ES) - LINHARES (ES)
0000.00.0196,RESERVA BIOLÓGICA GUARIBAS,MAMANGUAPE (PB) - RIO TINTO (PB)
0000.00.0198,RESERVA BIOLÓGICA DE SALTINHO,RIO FORMOSO (PE) - TAMANDARÉ (PE)
0000.00.0199,RESERVA BIOLÓGICA DE SANTA ISABEL,PACATUBA (SE) - PIRAMBU (SE)
0000.00.0201,RESERVA BIOLÓGICA DE SOORETAMA,JAGUARÉ (ES) - LINHARES (ES) - SOORETAMA (ES) - VILA VALÉRIO (ES)
0000.00.0202,RESERVA BIOLÓGICA DE UNA,UNA (BA)
0000.00.0203,RESERVA BIOLÓGICA DO ATOL DAS ROCAS,NATAL (RN)
0000.00.0205,RESERVA BIOLÓGICA DO CÓRREGO GRANDE,CONCEIÇÃO DA BARRA (ES) - MUCURI (BA)
0000.00.0209,RESERVA BIOLÓGICA DO LAGO PIRATUBA,AMAPÁ (AP) - TARTARUGALZINHO (AP)
0000.00.0212,RESERVA BIOLÓGICA DO TINGUÁ,DUQUE DE CAXIAS (RJ) - MIGUEL PEREIRA (RJ) - NOVA IGUAÇU (RJ) - PETRÓPOLIS (RJ)
0000.00.0214,RESERVA BIOLÓGICA MARINHA DO ARVOREDO,BOMBINHAS (SC) - FLORIANÓPOLIS (SC) - GOVERNADOR CELSO RAMOS (SC)
0000.00.0217,RESERVA BIOLÓGICA UNIÃO,CASIMIRO DE ABREU (RJ) - MACAÉ (RJ) - RIO DAS OSTRAS (RJ)
0000.00.0218,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DE ITATUPÃ-BAQUIÁ,GURUPÁ (PA)
0000.00.0223,RESERVA EXTRATIVISTA CHOCOARÉ-MATO GROSSO,SANTARÉM NOVO (PA) - SÃO JOÃO DE PIRABAS (PA)
