ID_UC,Código UC,Informações Gerais,Nome da UC,Esfera Administrativa,Categoria de Manejo,Categoria IUCN,UF,Ano de Criação,Ano do ato legal mais recente,Ato Legal de Criação,Outros atos legais,Municípios Abrangidos,Plano de Manejo,Conselho Gestor,Órgão Gestor,"Fonte da Área: (1 = SHP, 0 = Ato legal)",Área soma biomas,Área soma Biomas Continental,Área Ato Legal de Criação,Bioma Área (ha),Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Área Marinha,Bioma declarado,Grupo,PI,US,Recortes (ha),Mar Territorial,Município Costeiro,Município Costeiro + Área Marinha,Programa/Projeto,Sítios do Patrimônio Mundial,Sítios Ramsar,Mosaico,Reserva da Biosfera,Qualidade dos dados georreferenciados,Data da última certificação dos dados pelo Órgão Gestor
11,0000.00.0011,,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MANTIQUEIRA,Federal,Área de Proteção Ambiental,Category V,"MG, RJ, SP",1985,1985,Decreto 91304 de 03/06/1985,Sem informação.,AIURUOCA (MG) - ALAGOA (MG) - BAEPENDI (MG) - BOCAINA DE MINAS (MG) - CAMPOS DO JORDÃO (SP) - CRUZEIRO (SP) - DELFIM MOREIRA (MG) - GUARATINGUETÁ (SP) - ITAMONTE (MG) - ITANHANDU (MG) - ITATIAIA (RJ) - LAVRINHAS (SP) - LIBERDADE (MG) - LORENA (SP) - MARMELÓPOLIS (MG) - PASSA QUATRO (MG) - PASSA VINTE (MG) - PINDAMONHANGABA (SP) - PIQUETE (SP) - PIRANGUÇU (MG) - POUSO ALTO (MG) - QUELUZ (SP) - RESENDE (RJ) - SANTO ANTÔNIO DO PINHAL (SP) - SÃO BENTO DO SAPUCAÍ (SP) - VIRGÍNIA (MG) - WENCESLAU BRAZ (MG),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,437525.1409,437525.1409,411184,,0,0,0,437525.1409,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,0,0,,,,Mosaico Mantiqueira,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
12,0000.00.0012,,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA,Federal,Área de Proteção Ambiental,Category V,TO,2002,2002,Decreto 99.278 de 06/06/1990,Redução: Decreto S/N de 16/07/2002,MATEIROS (TO),Não,Não,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,41782.17209,41782.17209,61000,,0,0,41782.17209,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,,Mosaico Jalapão,RB - Cerrado,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
13,0000.00.0013,,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,Federal,Área de Proteção Ambiental,Category V,RJ,1983,1983,Decreto 89242 de 27/12/1983,Sem informação.,PARATY (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,32610.77938,31912.74243,32688,,0,0,0,31912.74243,0,0,698.0369539,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,Paraty e Ilha Grande: Cultura e Biodiversidade (misto),,Mosaico Bocaina,RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
14,0000.00.0014,,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE,Federal,Área de Proteção Ambiental,Category V,SP,1995,1995,Decreto 90347 de 23/10/1984,Ampliação: Decreto 91892 de 06/11/1995,CANANÉIA (SP) - IGUAPE (SP) - ILHA COMPRIDA (SP) - ITARIRI (SP) - MIRACATU (SP) - PERUÍBE (SP),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,202309.5577,201855.4219,196955,,0,0,0,201855.4219,0,0,454.1357848,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,"GEF Mar, Projeto Mata Atlântica",Reservas de Mata Atlântica do Sudeste (natural),,Mosaico do Litoral de São Paulo e Paraná (Lagamar),"RB - Cinturão Verde da Cidade de São Paulo, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
15,0000.00.0015,,ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA,Federal,Área de Proteção Ambiental,Category V,PE,1986,1986,Decreto 92755 de 05/06/1986,Sem informação.,FERNANDO DE NORONHA (PE),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,154357.9418,786.6936434,154000,,0,0,0,786.6936434,0,0,153571.2482,Área Marinha,Uso Sustentável,0,1,,1,1,1,GEF Mar,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
16,0000.00.0016,,ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,Federal,Área de Proteção Ambiental,Category V,RJ,1984,1984,Decreto 90225 de 25/09/1984,Sem informação.,GUAPIMIRIM (RJ) - ITABORAÍ (RJ) - MAGÉ (RJ) - SÃO GONÇALO (RJ),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,13890.14128,8908.118022,13950,,0,0,0,8908.118022,0,0,4982.023253,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,Mosaico Mata Atlântica Central Fluminense,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
17,0000.00.0017,,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,Federal,Área de Proteção Ambiental,Category V,PR,1985,1997,Decreto 90883 de 31/01/1985,Redução: Lei ordinária 9.513 Art 3 de 20/11/1997,ANTONINA (PR) - CAMPINA GRANDE DO SUL (PR) - GUARAQUEÇABA (PR) - PARANAGUÁ (PR),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,245640.9079,245640.9079,282444,,0,0,0,245640.9079,0,0,0,Mata Atlântica,Uso Sustentável,0,1,,0,1,1,,,,Mosaico do Litoral de São Paulo e Paraná (Lagamar),RB - Mt Atlântica,Polígono é uma representação esquemática da localização da UC,"sexta-feira, 26 de agosto de 2011"
18,0000.00.0018,,ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU,Federal,Área de Proteção Ambiental,Category V,AL,1983,1983,Decreto 88421 de 21/06/1983,Sem informação.,FELIZ DESERTO (AL) - PIAÇABUÇU (AL),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,9107.105288,9042.261962,9143,,0,0,0,9042.261962,0,0,64.84332549,Mata Atlântica,Uso Sustentável,0,1,,1,1,1,,,,,RB - Mt Atlântica,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
19,0000.00.0019,,ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA,Federal,Área de Proteção Ambiental,Category V,"CE, MA, PI",1996,1996,Decreto S/N de 28/08/1996,Sem informação.,ÁGUA DOCE DO MARANHÃO (MA) - ARAIOSES (MA) - BARROQUINHA (CE) - CAJUEIRO DA PRAIA (PI) - CHAVAL (CE) - ILHA GRANDE (PI) - LUÍS CORREIA (PI) - PARNAÍBA (PI) - PAULINO NEVES (MA) - TUTÓIA (MA),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,309589.6125,223653.47,313800,,0,85634.496,138018.974,0,0,0,85936.14247,Cerrado,Uso Sustentável,0,1,,1,1,1,GEF Mar,,Sítios Ramsar,,"RB - Caatinga, RB - Mt Atlântica",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
20,0000.00.0020,,ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA,Federal,Área de Proteção Ambiental,Category V,MG,1990,1996,Decreto 98881 de 25/01/1990,Revisão dos limites: Decreto 1876 de 25/04/1996,CONFINS (MG) - FUNILÂNDIA (MG) - LAGOA SANTA (MG) - MATOZINHOS (MG) - PEDRO LEOPOLDO (MG),Sim,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,37735.56901,37735.56901,35600,,0,0,37735.56901,0,0,0,0,Cerrado,Uso Sustentável,0,1,,0,0,0,,,Sítios Ramsar,,"RB - Mt Atlântica, RB - Serra do Espinhaço",Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
21,0000.00.0021,,ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ,Federal,Área de Proteção Ambiental,Category V,RS,1992,1992,Decreto 529 de 20/05/1992,Sem informação.,ALEGRETE (RS) - QUARAÍ (RS) - ROSÁRIO DO SUL (RS) - SANT'ANA DO LIVRAMENTO (RS),Não,Sim,INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE,1,316661.578,316661.578,318000,,0,0,0,0,316661.578,0,0,Pampa,Uso Sustentável,0,1,,0,0,0,GEF Terrestre,,,,,Polígono é uma estimativa dos limites da UC,"sexta-feira, 26 de agosto de 2011"
