ID_UC;Código UC;Informações Gerais;NOME DA UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área soma biomas;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha
23;0000.00.0023;;ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL;Federal;Área de Proteção Ambiental;Category V;DF, GO;2002;2002;Decreto s/n de 10/01/2002;;Brasília (DF), Padre Bernardo (GO), Planaltina (GO);Não;Sim;503.415;0;;0;0;503.415;0;0;0;0
24;0000.00.0024;;ÁREA DE PROTEÇÃO AMBIENTAL MEANDROS DO ARAGUAIA;Federal;Área de Proteção Ambiental;Category V;GO, MT, TO;1998;1998;Decreto S/N de 02/10/1998;;Nova Crixás (GO), São Miguel do Araguaia (GO), Cocalinho (MT), Novo Santo Antonio (MT), Formoso do Araguaia (TO), Sandolândia (TO);Não;Sim;359.188;358.717;;0;0;359.188;0;0;0;0
25;0000.00.0025;;ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ;Federal;Área de Proteção Ambiental;Category V;MS, PR, SP;1997;1997;Decreto S/N de 30/09/1997;;Bataiporã (MS), Eldorado (MS), Iguatemi (MS), Itaquiraí (MS), Ivinhema (MS), Japorã (MS), Jateí (MS), Mundo Novo (MS), Naviraí (MS), Nova Andradina (MS), Novo Horizonte do Sul (MS), Taquarussu (MS), Altânia (PR), Diamante do Norte (PR), Guaíra (PR), Icaraíma (PR), Ivaté (PR), Marilena (PR), Nova Londrina (PR), Porto Rico (PR), Querência do Norte (PR), Santa Cruz de Monte Castelo (PR), São Jorge do Patrocínio (PR), São Pedro do Paraná (PR), Terra Roxa (PR), Vila Alta (PR), Rosana (SP);Não;Sim;1.005.155;1.003.059;;0;0;0;1.005.155;0;0;0
27;0000.00.0027;;ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA;Federal;Área de Proteção Ambiental;Category V;MG;1990;1990;Decreto 98891 de 26/01/1990;;Conceição do Mato Dentro (MG), Itabira (MG), Itambé do Mato Dentro (MG), Jaboticatubas (MG), Nova União (MG), Morro do Pilar (MG), Santana do Riacho (MG), Taquaraçu de Minas (MG);Não;Sim;131.769;100.431;;0;0;131.769;0;0;0;0
28;0000.00.0028;;ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;Federal;Área de Proteção Ambiental;Category V;GO;2001;2001;Decreto S/N de 27/09/2001;;Damianópolis (GO), Mambaí (GO), Buritinópolis (GO), Posse (GO);Não;Sim;176.321;176.159;;0;0;176.321;0;0;0;0
29;0000.00.0029;;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Federal;Área de Proteção Ambiental;Category V;CE, PI;1996;1996;Decreto s/n de 26/11/1996;;Viçosa do Ceará (CE), Bom Princípio do Piauí (PI), Brasileira (PI), Buriti dos Lopes (PI), Cocal (PI), Conceição do Canindé (PI), Domingos Mourão (PI), Lagoa de São Francisco (PI), Piracuruca (PI), Piripiri (PI), Pedro II (PI), Chaval (CE), Granja (CE), Moraújo (CE), Tianguá (CE);Não;Não;1.624.173;1.592.550;;0;1.611.385;12.789;0;0;0;0
30;0000.00.0030;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;1990;Decreto 99276 de 06/06/1990;;Santa Rita do Passa Quatro (SP);Não;Não;151;149;;0;0;0;151;0;0;0
31;0000.00.0031;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA CAPETINGA/TAQUARA;Federal;Área de Relevante Interesse Ecológico;Category IV;DF;1985;1985;Decreto 91303 de 03/06/1985;;Brasília (DF);Não;Não;2.057;2.100;;0;0;2.057;0;0;0;0
32;0000.00.0032;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PÉ-DE-GIGANTE;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1990;1990;Decreto 99275 de 06/06/1990;;Santa Rita do Passa Quatro (SP);Não;Não;1.199;1.060;;0;0;1.199;0;0;0;0
34;0000.00.0034;;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Federal;Monumento Natural;Category III;RJ;1989;2010;Resolução 11 de 14/09/1989;"Recategorização - Decreto S/N.º de 13/04/2010;";Niterói (RJ);Não;Não;106;0;;0;0;0;32;0;0;74
35;0000.00.0035;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA FLORESTA DA CICUTA;Federal;Área de Relevante Interesse Ecológico;Category IV;RJ;1985;1985;Decreto 90792 de 09/01/1985;;Volta Redonda (RJ), Barra Mansa (RJ);Não;Sim;125;131;;0;0;0;125;0;0;0
36;0000.00.0036;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA ILHA AMEIXAL;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 91889 de 05/11/1985;;Peruíbe (SP);Não;Não;359;79.830;;0;0;0;359;0;0;0
37;0000.00.0037;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 91887 de 05/11/1985;;Peruíbe (SP);Não;Não;65;33;;0;0;0;0;0;0;65
38;0000.00.0038;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA JAVARI BURITI;Federal;Área de Relevante Interesse Ecológico;Category IV;AM;1985;1985;Decreto 91886 de 05/11/1985;;Santo Antônio do Içá (AM);Não;Não;13.177;15.000;;13.177;0;0;0;0;0;0
39;0000.00.0039;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;Federal;Área de Relevante Interesse Ecológico;Category IV;PB;1985;1985;Decreto 91890 de 05/11/1985;;Marcação (PB), Rio Tinto (PB);Não;Não;5.769;5.721;;0;0;0;5.486;0;0;283
40;0000.00.0040;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATA DE SANTA GENEBRA;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 91885 de 05/11/1985;;Campinas (SP), Paulínia (SP);Sim;Sim;242;252;;0;0;0;242;0;0;0
41;0000.00.0041;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATÃO DE COSMÓPOLIS;Federal;Área de Relevante Interesse Ecológico;Category IV;SP;1985;1985;Decreto 90791 de 09/01/1985;;Artur Nogueira (SP), Cosmópolis (SP);Não;Não;173;173;;0;0;173;0;0;0;0
43;0000.00.0043;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS;Federal;Área de Relevante Interesse Ecológico;Category IV;AM;1985;1985;Decreto 91884 de 05/11/1985;;Manaus (AM), Rio Preto da Eva (AM);Não;Não;3.180;3.288;;3.180;0;0;0;0;0;0
44;0000.00.0044;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA SERINGAL NOVA ESPERANÇA;Federal;Área de Relevante Interesse Ecológico;Category IV;AC;1999;1999;Decreto S/N de 20/08/1999;;Epitaciolândia (AC);Não;Não;2.574;2.575;;2.574;0;0;0;0;0;0
45;0000.00.0045;;ÁREA DE RELEVANTE INTERESSE ECOLÓGICA SERRA DA ABELHA;Federal;Área de Relevante Interesse Ecológico;Category IV;SC;1996;1996;Decreto S/N de 25/05/1996;;Vitor Meireles (SC);Não;Não;5.016;5.017;;0;0;0;5.016;0;0;0
47;0000.00.0047;;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO;Federal;Estação Ecológica;Category Ia;PA;2005;2005;Decreto sem número de 17/02/2005;;Altamira (PA), São Félix do Xingu (PA);Sim;Sim;3.373.136;3.372.111;;3.373.136;0;0;0;0;0;0
48;0000.00.0048;;ESTAÇÃO ECOLÓGICA DE AIUABA;Federal;Estação Ecológica;Category Ia;CE;2001;2001;Decreto s/n de 06/02/2001;;Aiuaba (CE);Não;Não;11.747;11.525;;0;11.747;0;0;0;0;0
49;0000.00.0049;;PARQUE NACIONAL DE ANAVILHANAS;Federal;Parque;Category II;AM;1981;2008;Decreto 86061 de 02/06/1981;"Recategorização - Lei ordinária 11799 de 29/10/2008;";Novo Airão (AM), Manaus (AM);Sim;Sim;350.236;350.018;;350.236;0;0;0;0;0;0
50;0000.00.0050;;ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA;Federal;Estação Ecológica;Category Ia;RS;1981;1981;Decreto 86061 de 02/06/1981;;Muitos Capões (RS);Sim;Não;277;273;;0;0;0;277;0;0;0
52;0000.00.0052;;ESTAÇÃO ECOLÓGICA DE CARIJÓS;Federal;Estação Ecológica;Category Ia;SC;1987;1987;Decreto 94656 de 20/07/1987;;Florianópolis (SC);Sim;Sim;759;619;;0;0;0;759;0;0;0
53;0000.00.0053;;ESTAÇÃO ECOLÓGICA DE CUNIÃ;Federal;Estação Ecológica;Category Ia;AM, RO;2001;2010;Decreto S/Nº de 27/09/2001;"Ampliação - Decreto S/N de 21/12/2007;Ampliação - Decreto S/N de 13/03/2008;Ampliação - Lei ordinária S/Nº de 11/06/2010;";Canutama (AM), Humaitá (AM), Porto Velho (RO);Não;Sim;185.381;53.221;;185.381;0;0;0;0;0;0
54;0000.00.0054;;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;Federal;Estação Ecológica;Category Ia;PR;1982;1997;Decreto 87222 de 31/05/1982;"Ampliação - Decreto 93053 de 31/07/1986;Revisão dos limites - Lei ordinária 9513 de 20/11/1997;";Guaraqueçaba (PR);Não;Sim;4.370;13.639;;0;0;0;4.357;0;0;13
56;0000.00.0056;;ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES;Federal;Estação Ecológica;Category Ia;AM;1983;2001;Decreto 88541 de 21/07/1983;"Recategorização - Portaria 375 de 11/10/2001;";Amaturá (AM), Jutaí (AM), Santo Antônio do Içá (AM), Tonantins (AM);Não;Sim;289.514;284.285;;289.514;0;0;0;0;0;0
57;0000.00.0057;;ESTAÇÃO ECOLÓGICA DE MARACÁ;Federal;Estação Ecológica;Category Ia;RR;1981;1981;Decreto 86061 de 02/06/1981;;Amajari (RR), Alto Alegre (RR);Sim;Sim;103.536;101.312;;103.536;0;0;0;0;0;0
58;0000.00.0058;;ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA;Federal;Estação Ecológica;Category Ia;AP;1981;1981;Decreto 86061 de 02/06/1981;;Amapá (AP);Sim;Sim;58.756;72.000;;56.629;0;0;0;0;0;2.127
59;0000.00.0059;;ESTAÇÃO ECOLÓGICA DE MURICI;Federal;Estação Ecológica;Category Ia;AL;2001;2001;Decreto S/N de 28/05/2001;;Murici (AL), Messias (AL), Flexeiras (AL);Sim;Sim;6.131;6.116;;0;0;0;6.131;0;0;0
60;0000.00.0060;;ESTAÇÃO ECOLÓGICA DE NIQUIÁ;Federal;Estação Ecológica;Category Ia;RR;1985;1985;Decreto 91306 de 03/06/1985;;Caracaraí (RR);Sim;Sim;306.401;286.600;;306.401;0;0;0;0;0;0
61;0000.00.0061;;ESTAÇÃO ECOLÓGICA DE PIRAPITINGA;Federal;Estação Ecológica;Category Ia;MG;1987;1987;Decreto 94656 de 20/07/1987;;Morada Nova de Minas (MG);Não;Sim;1.384;1.090;;0;0;1.384;0;0;0;0
62;0000.00.0062;;ESTAÇÃO ECOLÓGICA DE TAIAMÃ;Federal;Estação Ecológica;Category Ia;MT;1981;2009;Decreto 86061 de 02/06/1981;"Regulamentação - Instrução Normativa 9 de 27/04/2009;";Poconé (MT), Cáceres (MT);Sim;Sim;11.555;11.200;;0;0;0;0;0;11.555;0
63;0000.00.0063;;ESTAÇÃO ECOLÓGICA DE TAMOIOS;Federal;Estação Ecológica;Category Ia;RJ;1990;1990;Decreto 98864 de 23/01/1990;;Angra dos Reis (RJ), Parati (RJ);Sim;Sim;8.660;700;;0;0;0;188;0;0;8.472
64;0000.00.0064;;ESTAÇÃO ECOLÓGICA TUPINAMBÁS;Federal;Estação Ecológica;Category Ia;SP;1987;1987;Decreto 94656 de 20/07/1987;;São Sebastião (SP), Ubatuba (SP);Sim;Sim;2.464;28;;0;0;0;27;0;0;2.437
65;0000.00.0065;;ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA;Federal;Estação Ecológica;Category Ia;PI;1981;1981;Decreto 86061 de 02/06/1981;;Bom Jesus (PI), Santa Filomena (PI), Baixa Grande do Ribeiro (PI);Não;Não;135.125;135.000;;0;0;135.125;0;0;0;0
66;0000.00.0066;;ESTAÇÃO ECOLÓGICA DO CASTANHÃO;Federal;Estação Ecológica;Category Ia;CE;2001;2001;Decreto S/N de 27/09/2001;;Jaguaribe (CE), Jaguaribara (CE), Alto Santo (CE);Não;Não;12.580;12.579;;0;12.580;0;0;0;0;0
67;0000.00.0067;;ESTAÇÃO ECOLÓGICA DO JARI;Federal;Estação Ecológica;Category Ia;AP, PA;1982;1984;Decreto 87092 de 12/04/1982;"Ampliação - Decreto 89440 de 13/03/1984;";Laranjal do Jari (AP), Almeirim (PA);Não;Sim;231.109;207.370;;231.109;0;0;0;0;0;0
68;0000.00.0068;;ESTAÇÃO ECOLÓGICA RIO ACRE;Federal;Estação Ecológica;Category Ia;AC;1981;1981;Decreto 86061 de 02/06/1981;;Sena Madureira (AC), Assis Brasil (AC);Sim;Sim;78.383;77.500;;78.383;0;0;0;0;0;0
69;0000.00.0069;;ESTAÇÃO ECOLÓGICA DO SERIDÓ;Federal;Estação Ecológica;Category Ia;RN;1982;1982;Decreto 87222 de 31/05/1982;;Serra Negra do Norte (RN);Sim;Sim;1.124;28.700;;0;1.124;0;0;0;0;0
70;0000.00.0070;;ESTAÇÃO ECOLÓGICA DO TAIM;Federal;Estação Ecológica;Category Ia;RS;1986;2017;Decreto 92963 de 21/07/1986;"Ampliação - Decreto S/N de 05/06/2017;";Rio Grande (RS), Santa Vitória do Palmar (RS);Não;Sim;32.110;10.939;;0;0;0;0;31.936;0;174
71;0000.00.0071;;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;Federal;Estação Ecológica;Category Ia;SP;1986;1986;Decreto 92964 de 21/07/1986;;Cananéia (SP), Itanhaém (SP), Peruíbe (SP);Sim;Não;1.728;43;;0;0;0;80;0;0;1.648
72;0000.00.0072;;ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ;Federal;Estação Ecológica;Category Ia;AM;1985;1985;Decreto 91307 de 03/06/1985;;Japurá (AM);Sim;Sim;831.524;837.650;;831.524;0;0;0;0;0;0
73;0000.00.0073;;ESTAÇÃO ECOLÓGICA MICO LEÃO PRETO;Federal;Estação Ecológica;Category Ia;SP;2002;2004;Decreto S/N de 16/07/2002;"Ampliação - Decreto S/N de 14/05/2004;";Euclides da Cunha Paulista (SP), Marabá Paulista (SP), Presidente Epitácio (SP), Teodoro Sampaio (SP);Sim;Sim;6.681;1.500;;0;0;0;6.681;0;0;0
74;0000.00.0074;;ESTAÇÃO ECOLÓGICA RASO DA CATARINA;Federal;Estação Ecológica;Category Ia;BA;1984;2001;Decreto 89268 de 03/01/1984;"Recategorização - Portaria 373 de 11/10/2001;";Rodelas (BA), Paulo Afonso (BA), Jeremoabo (BA);Sim;Sim;104.849;99.772;;0;104.849;0;0;0;0;0
75;0000.00.0075;;ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS;Federal;Estação Ecológica;Category Ia;MT;1982;1982;Decreto 87222 de 31/05/1982;;Cáceres (MT), Porto Estrela (MT);Sim;Sim;27.159;28.700;;0;0;27.159;0;0;0;0
