ID_UC;Código UC;Informações Gerais;NOME DA UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Área soma biomas;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha
731;0000.33.0731;;ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS;Estadual;Área de Proteção Ambiental;Category V;RJ;1982;1982;Decreto 9452 de 05/12/1982;;Angra dos Reis (RJ);Sim;Sim;20.650;0;;0;0;0;18.393;0;0;2.257
735;0000.33.0735;;ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA;Estadual;Área de Proteção Ambiental;Category V;RJ;2005;2005;Decreto 38183 de 05/09/2005;;Mesquita (RJ), Nilópolis (RJ), Nova Iguaçu (RJ), Rio de Janeiro (RJ);Não;Sim;7.974;0;;0;0;0;7.974;0;0;0
736;0000.33.0736;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DOS FRADES;Estadual;Área de Proteção Ambiental;Category V;RJ;1990;1990;Lei ordinária 1755 de 17/11/1990;;Rio de Janeiro (RJ), Teresópolis (RJ);Não;Não;6.882;7.500;;0;0;0;6.882;0;0;0
737;0000.33.0737;;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU;Estadual;Área de Proteção Ambiental;Category V;RJ;2002;2002;Decreto 4018 de 05/12/2002;;Cachoeiras de Macacu (RJ), Guapimirim (RJ);Não;Sim;19.499;0;;0;0;0;19.402;0;0;97
738;0000.33.0738;;ÁREA DE PROTEÇÃO AMBIENTAL DE MACAÉ DE CIMA;Estadual;Área de Proteção Ambiental;Category V;RJ;2001;2001;Decreto 29213 de 14/09/2001;;Bom Jardim (RJ), Cachoeiras de Macacu (RJ), Casimiro de Abreu (RJ), Macaé (RJ), Nova Friburgo (RJ), Silva Jardim (RJ), Trajano de Morais (RJ);Não;Sim;35.003;35.037;;0;0;0;35.003;0;0;0
739;0000.11.0739;;FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO RIO VERMELHO (C);Estadual;Floresta;Category VI;RO;1990;1990;Decreto 4567 de 23/03/1990;;Porto Velho (RO);Não;Não;4.095;20.215;;4.095;0;0;0;0;0;0
740;0000.11.0740;;FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MACHADO;Estadual;Floresta;Category VI;RO;1990;1990;Decreto 4571 de 23/03/1990;;Machadinho D'Oeste (RO), Porto Velho (RO);Não;Não;175.781;175.781;;175.781;0;0;0;0;0;0
743;0000.11.0743;;RESERVA EXTRATIVISTA ANGELIM;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7095 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;8.384;8.923;;8.384;0;0;0;0;0;0
744;0000.11.0744;;RESERVA EXTRATIVISTA MARACATIARA;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7096 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;8.660;9.503;;8.660;0;0;0;0;0;0
745;0000.11.0745;;RESERVA EXTRATIVISTA FREIJÓ;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7097 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;629;600;;629;0;0;0;0;0;0
746;0000.11.0746;;RESERVA EXTRATIVISTA PIQUIÁ;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7098 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;1.279;1.449;;1.279;0;0;0;0;0;0
747;0000.11.0747;;RESERVA EXTRATIVISTA MOGNO;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7099 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;2.413;2.450;;2.413;0;0;0;0;0;0
748;0000.11.0748;;RESERVA EXTRATIVISTA DO ITAÚBA;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7100 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;1.604;1.758;;1.604;0;0;0;0;0;0
749;0000.11.0749;;RESERVA EXTRATIVISTA IPÊ;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7101 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;820;815;;820;0;0;0;0;0;0
750;0000.11.0750;;RESERVA EXTRATIVISTA JATOBÁ;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7102 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;1.339;1.135;;1.339;0;0;0;0;0;0
751;0000.11.0751;;RESERVA EXTRATIVISTA MASSARANDUBA;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7103 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;6.174;5.566;;6.174;0;0;0;0;0;0
752;0000.11.0752;;RESERVA EXTRATIVISTA SUCUPIRA;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7104 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;2.818;3.188;;2.818;0;0;0;0;0;0
753;0000.11.0753;;RESERVA EXTRATIVISTA CASTANHEIRA;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7105 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;9.661;10.200;;9.661;0;0;0;0;0;0
754;0000.11.0754;;RESERVA EXTRATIVISTA AQUARIQUARA;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7106 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;19.276;18.100;;19.276;0;0;0;0;0;0
755;0000.11.0755;;RESERVA EXTRATIVISTA ROXINHO;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7107 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;1.039;882;;1.039;0;0;0;0;0;0
756;0000.11.0756;;RESERVA EXTRATIVISTA SERINGUEIRA;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7108 de 04/09/1995;;Machadinho D'Oeste (RO), Vale do Anari (RO);Não;Sim;476;537;;476;0;0;0;0;0;0
757;0000.11.0757;;RESERVA EXTRATIVISTA GARROTE;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7109 de 04/09/1995;;Machadinho D'Oeste (RO);Não;Sim;866;803;;866;0;0;0;0;0;0
758;0000.11.0758;;"FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MADEIRA ""B""";Estadual;Floresta;Category VI;RO;1996;1996;Decreto 7600 de 08/10/1996;"Revisão dos limites - Decreto 3611 de 11/10/1996;";Porto Velho (RO);Não;Não;47.356;51.856;;47.356;0;0;0;0;0;0
759;0000.11.0759;;FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO MUTUM;Estadual;Floresta;Category VI;RO;1996;1996;Decreto 7602 de 08/10/1996;;Cujubim (RO);Não;Não;10.855;11.471;;10.855;0;0;0;0;0;0
760;0000.11.0760;;FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO TUCANO;Estadual;Floresta;Category VI;RO;1996;1996;Decreto 7603 de 08/10/1996;;Cujubim (RO);Não;Não;511;660;;511;0;0;0;0;0;0
761;0000.11.0761;;FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO GAVIÃO;Estadual;Floresta;Category VI;RO;1996;1996;Decreto 7604 de 08/10/1996;;Cujubim (RO);Não;Não;434;440;;434;0;0;0;0;0;0
763;0000.11.0763;;FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO CEDRO;Estadual;Floresta;Category VI;RO;1996;1996;Decreto 7601 de 08/10/1996;;Machadinho D'Oeste (RO);Não;Não;2.568;2.567;;2.568;0;0;0;0;0;0
764;0000.11.0764;;ESTAÇÃO ECOLÓGICA SAMUEL;Estadual;Estação Ecológica;Category Ia;RO;1989;1997;Decreto 4227 de 13/07/1989;"Revisão dos limites - Decreto 763 de 29/12/1997;";Candeias do Jamari (RO);Sim;Não;65.097;28.500;;65.097;0;0;0;0;0;0
765;0000.11.0765;;PARQUE ESTADUAL DE GUAJARÁ-MIRIM;Estadual;Parque;Category II;RO;1990;1996;Decreto 4575 de 23/03/1990;"Revisão dos limites - Decreto 700 de 27/12/1996;Revisão dos limites - Lei complementar LEI Nº 700 de 27/12/1996;";Guajará-Mirim (RO), Nova Mamoré (RO);Sim;Sim;205.049;258.813;;205.049;0;0;0;0;0;0
767;0000.11.0767;;RESERVA BIOLÓGICA RIO OURO PRETO;Estadual;Reserva Biológica;Category Ia;RO;1990;1990;Decreto 4580 de 28/03/1990;;Guajará-Mirim (RO);Não;Não;59.137;46.838;;59.137;0;0;0;0;0;0
768;0000.11.0768;;ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS;Estadual;Estação Ecológica;Category Ia;RO;1990;2010;Decreto 4584 de 28/03/1990;"Redução - Lei complementar 581 de 30/06/2010;";Porto Velho (RO);Não;Não;89.100;99.813;;89.100;0;0;0;0;0;0
770;0000.11.0770;;RESERVA BIOLÓGICA TRAÇADAL;Estadual;Reserva Biológica;Category Ia;RO;1990;1990;Decreto 4583 de 28/03/1990;;Guajará-Mirim (RO);Não;Não;25.068;22.540;;25.068;0;0;0;0;0;0
771;0000.11.0771;;RESERVA EXTRATIVISTA CURRALINHO;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 6952 de 14/07/1995;;Costa Marques (RO);Não;Não;1.614;1.758;;1.614;0;0;0;0;0;0
772;0000.11.0772;;RESERVA EXTRATIVISTA RIO PACAÁS NOVOS;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 6953 de 14/07/1995;;Guajará-Mirim (RO);Não;Sim;346.245;342.904;;346.245;0;0;0;0;0;0
773;0000.11.0773;;RESERVA EXTRATIVISTA PEDRAS NEGRAS;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 6954 de 14/07/1995;;Alta Floresta D'Oeste (RO), Costa Marques (RO);Não;Não;124.003;124.409;;124.003;0;0;0;0;0;0
774;0000.11.0774;;PARQUE ESTADUAL SERRA DOS REIS;Estadual;Parque;Category II;RO;1997;1997;Decreto 3910 de 29/12/1997;;Costa Marques (RO);Não;Sim;36.438;36.442;;36.438;0;0;0;0;0;0
775;0000.11.0775;;RESERVA EXTRATIVISTA RIO CAUTÁRIO;Estadual;Reserva Extrativista;Category VI;RO;1995;1995;Decreto 7028 de 08/08/1995;;Costa Marques (RO), Guajará-Mirim (RO);Sim;Sim;142.040;146.400;;142.040;0;0;0;0;0;0
776;0000.11.0776;;RESERVA EXTRATIVISTA JACI-PARANÁ;Estadual;Reserva Extrativista;Category VI;RO;1996;2011;Decreto 7335 de 17/01/1996;"Revisão dos limites - Lei complementar 633 de 13/09/2011;";Buritis (RO), Nova Mamoré (RO), Porto Velho (RO);Não;Não;197.435;205.000;;197.435;0;0;0;0;0;0
777;0000.11.0777;;RESERVA EXTRATIVISTA RIO PRETO-JACUNDÁ;Estadual;Reserva Extrativista;Category VI;RO;1996;1996;Decreto 7336 de 17/01/1996;;Machadinho D'Oeste (RO);Não;Sim;101.355;95.300;;101.355;0;0;0;0;0;0
778;0000.11.0778;;FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO PERIQUITO;Estadual;Floresta;Category VI;RO;1996;1996;Decreto 7606 de 08/10/1996;;Cujubim (RO);Não;Não;1.135;1.163;;1.135;0;0;0;0;0;0
780;0000.42.0780;;PARQUE ESTADUAL DA SERRA FURADA;Estadual;Parque;Category II;SC;1980;1980;Decreto 11233 de 20/06/1980;;Grão Pará (SC), Orleans (SC);Sim;Sim;1.471;1.330;;0;0;0;1.471;0;0;0
781;0000.42.0781;;RESERVA BIOLÓGICA ESTADUAL DO AGUAÍ;Estadual;Reserva Biológica;Category Ia;SC;1983;1983;Decreto 10635 de 01/07/1983;;Morro Grande (SC), Nova Veneza (SC), Siderópolis (SC), Treviso (SC);Não;Não;7.854;7.672;;0;0;0;7.854;0;0;0
786;0000.42.0786;;PARQUE ESTADUAL DA SERRA DO TABULEIRO;Estadual;Parque;Category II;SC;1975;2009;Decreto 1260 de 01/11/1975;"Redução - Lei ordinária 14661 de 26/03/2009;";Florianópolis (SC), Imaruí (SC), Paulo Lopes (SC), Palhoça (SC), Santo Amaro da Imperatriz (SC), São Bonifácio (SC), São Martinho (SC), Águas Mornas (SC);Não;Não;83.908;90.000;;0;0;0;83.784;0;0;124
787;0000.42.0787;;PARQUE ESTADUAL RIO CANOAS;Estadual;Parque;Category II;SC;2004;2004;Decreto 1871 de 27/05/2004;;Campos Novos (SC);Não;Não;1.134;1.133;;0;0;0;1.134;0;0;0
788;0000.42.0788;;PARQUE ESTADUAL DAS ARAUCÁRIAS;Estadual;Parque;Category II;SC;2003;2003;Decreto 293 de 30/05/2003;;Galvão (SC), São Domingos (SC);Não;Sim;626;612;;0;0;0;626;0;0;0
789;0000.42.0789;;PARQUE ESTADUAL FRITZ PLAUMANN;Estadual;Parque;Category II;SC;2003;2003;Decreto 797 de 24/09/2003;;Concórdia (SC);Sim;Sim;725;741;;0;0;0;725;0;0;0
791;0000.42.0791;;PARQUE ESTADUAL ACARAI;Estadual;Parque;Category II;SC;2005;2005;Decreto 3517 de 23/09/2005;;São Francisco do Sul (SC);Sim;Sim;6.666;6.667;;0;0;0;6.445;0;0;222
793;0000.28.0793;;ÁREA DE PROTEÇÃO AMBIENTAL DO LITORAL SUL;Estadual;Área de Proteção Ambiental;Category V;SE;1993;1993;Decreto 13468 de 21/01/1993;;Estância (SE), Indiaroba (SE), Itaporanga D'Ajuda (SE), Santa Luzia do Itanhy (SE);Não;Sim;43.917;5.000;;0;0;0;43.917;0;0;0
794;0000.28.0794;;ÁREA DE PROTEÇÃO AMBIENTAL DO MORRO DO URUBU;Estadual;Área de Proteção Ambiental;Category V;SE;1993;1993;Decreto 13713 de 14/06/1993;;Aracaju (SE);Não;Sim;213;213;;0;0;0;213;0;0;0
798;0000.35.0798;;PARQUE ESTADUAL DA SERRA DO MAR;Estadual;Parque;Category II;SP;1977;1979;Decreto 10251 de 30/08/1977;"Ampliação - Decreto 13313 de 06/03/1979;";São Bernardo do Campo (SP), São Luís do Paraitinga (SP), São Paulo (SP), São Sebastião (SP), São Vicente (SP), Ubatuba (SP), Bertioga (SP), Biritiba-Mirim (SP), Caraguatatuba (SP), Cubatão (SP), Cunha (SP), Itanhaém (SP), Juquitiba (SP), Moji das Cruzes (SP), Mongaguá (SP), Natividade da Serra (SP), Paraibuna (SP), Pedro de Toledo (SP), Peruíbe (SP), Praia Grande (SP), Salesópolis (SP), Santo André (SP), Santos (SP);Sim;Sim;322.296;315.000;;0;0;0;322.050;0;0;246
800;0000.35.0800;;PARQUE ESTADUAL DE CAMPOS DO JORDÃO;Estadual;Parque;Category II;SP;1941;1941;Decreto 11908 de 27/03/1941;;Campos do Jordão (SP);Sim;Sim;8.205;8.341;;0;0;0;8.205;0;0;0
801;0000.35.0801;;PARQUE ESTADUAL DO JURUPARÁ;Estadual;Parque;Category II;SP;1978;1992;Decreto 12185 de 30/08/1978;"Recategorização - Decreto 35703 de 22/09/1992;Ampliação - Decreto 35704 de 22/09/1992;";Piedade (SP), Ibiúna (SP);Sim;Não;26.238;23.900;;0;0;0;26.238;0;0;0
807;0000.35.0807;;ESTAÇÃO ECOLÓGICA DE PAULO DE FARIA;Estadual;Estação Ecológica;Category Ia;SP;1981;1981;Decreto 17724 de 23/09/1981;;Paulo de Faria (SP);Sim;Não;437;435;;0;0;0;437;0;0;0
808;0000.35.0808;;ESTAÇÃO ECOLÓGICA JATAÍ;Estadual;Estação Ecológica;Category Ia;SP;1982;2002;Decreto 18997 de 15/06/1982;"Ampliação - Decreto 47096 de 18/09/2002;";Luís Antônio (SP);Sim;Não;9.000;4.532;;0;0;9.000;0;0;0;0
810;0000.35.0810;;PARQUE ESTADUAL CARLOS BOTELHO;Estadual;Parque;Category II;SP;1982;1982;Decreto 19499 de 10/09/1982;;Capâo Bonito (SP), Sete Barras (SP), São Miguel Arcanjo (SP);Sim;Não;40.137;37.644;;0;0;0;40.137;0;0;0
812;0000.35.0812;;ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO;Estadual;Estação Ecológica;Category Ia;SP;1982;1984;Decreto 20073 de 06/12/1982;"Recategorização - Decreto 22691 de 13/09/1984;";Ribeirão Preto (SP);Sim;Não;154;154;;0;0;154;0;0;0;0
816;0000.35.0816;;PARQUE ESTADUAL DO MORRO DO DIABO;Estadual;Parque;Category II;SP;1941;1986;Decreto 12279 de 29/10/1941;"Recategorização - Decreto 25342 de 04/06/1986;";Teodoro Sampaio (SP);Sim;Não;36.572;37.156;;0;0;0;36.572;0;0;0
817;0000.35.0817;;ESTAÇÃO ECOLÓGICA CHAÚAS;Estadual;Estação Ecológica;Category Ia;SP;1978;1987;Decreto 12327 de 26/09/1978;"Recategorização - Decreto 26719 de 06/02/1987;";Iguape (SP);Não;Sim;2.498;2.699;;0;0;0;2.498;0;0;0
818;0000.35.0818;;ESTAÇÃO ECOLÓGICA MATA DO JACARÉ;Estadual;Estação Ecológica;Category Ia;SP;1961;1987;Decreto 38957 de 25/08/1961;"Recategorização - Decreto 26890 de 12/03/1987;";Brotas (SP);Não;Não;83;75;;0;0;83;0;0;0;0
819;0000.35.0819;;ESTAÇÃO ECOLÓGICA IBICATU;Estadual;Estação Ecológica;Category Ia;SP;1958;1987;Decreto 33261 de 29/07/1958;"Recategorização - Decreto 26890 de 12/03/1987;";Piracicaba (SP);Não;Não;82;76;;0;0;82;0;0;0;0
820;0000.35.0820;;ESTAÇÃO ECOLÓGICA BANANAL;Estadual;Estação Ecológica;Category Ia;SP;1964;1987;Decreto 43193 de 03/04/1964;"Recategorização - Decreto 26890 de 12/03/1987;Recategorização - Decreto 26890 de 12/03/1987;";Bananal (SP);Não;Sim;885;884;;0;0;0;885;0;0;0
821;0000.35.0821;;ESTAÇÃO ECOLÓGICA ITABERÁ;Estadual;Estação Ecológica;Category Ia;SP;1957;1987;Decreto 29881 de 11/10/1957;"Recategorização - Decreto 26890 de 12/03/1987;";Itaberá (SP);Não;Não;194;180;;0;0;194;0;0;0;0
823;0000.35.0823;;PARQUE ESTADUAL DE PORTO FERREIRA;Estadual;Parque;Category II;SP;1962;1987;Decreto 40991 de 06/11/1962;"Recategorização - Decreto 26891 de 12/03/1987;";Porto Ferreira (SP);Sim;Não;605;611;;0;0;0;605;0;0;0
825;0000.35.0825;;PARQUE ESTADUAL DAS FURNAS DO BOM JESUS;Estadual;Parque;Category II;SP;1989;1990;Decreto 30591 de 12/10/1989;"Ampliação - Decreto 31644 de 31/05/1990;";Pedregulho (SP);Não;Não;2.063;2.069;;0;0;2.063;0;0;0;0
826;0000.35.0826;;PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA;Estadual;Parque;Category II;SP;1958;1988;Decreto 32283 de 19/05/1958;"Alteração de nome - Decreto 5973 de 28/11/1960;Ampliação - Decreto 28086 de 13/01/1988;";Iporanga (SP), Apiaí (SP);Sim;Sim;35.902;35.712;;0;0;0;35.902;0;0;0
831;0000.35.0831;;PARQUE ESTADUAL DO JUQUERY;Estadual;Parque;Category II;SP;1993;1999;Decreto 36859 de 05/06/1993;"Ampliação - Decreto 44099 de 12/07/1999;";Franco da Rocha (SP), Caieiras (SP);Não;Não;1.978;1.927;;0;0;0;1.978;0;0;0
833;0000.35.0833;;PARQUE ESTADUAL XIXOVÁ-JAPUÍ;Estadual;Parque;Category II;SP;1993;1993;Decreto 37536 de 27/09/1993;;São Vicente (SP), Praia Grande (SP);Sim;Não;881;901;;0;0;0;664;0;0;217
834;0000.35.0834;;PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS;Estadual;Parque;Category II;SP;1993;1993;Decreto 37537 de 27/09/1993;;Santos (SP);Sim;Sim;5.139;5.000;;0;0;0;0;0;0;5.139
836;0000.35.0836;;PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO;Estadual;Parque;Category II;SP;1993;1993;Decreto 37539 de 27/09/1993;;Campos do Jordão (SP);Sim;Não;517;502;;0;0;0;517;0;0;0
841;0000.35.0841;;PARQUE ESTADUAL DA ILHA DO CARDOSO;Estadual;Parque;Category II;SP;1962;1962;Decreto 40319 de 03/07/1962;;Cananéia (SP);Sim;Não;13.155;0;;0;0;0;13.064;0;0;91
844;0000.35.0844;;PARQUE ESTADUAL DA CANTAREIRA;Estadual;Parque;Category II;SP;1968;1968;Lei ordinária 10228 de 24/09/1968;;São Paulo (SP), Mairiporã (SP), Guarulhos (SP), Caieiras (SP);Sim;Não;7.620;0;;0;0;0;7.620;0;0;0
845;0000.35.0845;;PARQUE ESTADUAL DO AGUAPEÍ;Estadual;Parque;Category II;SP;1998;1998;Decreto 43269 de 02/07/1998;;São João do Pau D'Alho (SP), Nova Independência (SP), Monte Castelo (SP), Junqueirópolis (SP), Guaraçaí (SP), Castilho (SP);Sim;Não;9.049;9.043;;0;0;0;9.049;0;0;0
852;0000.35.0852;;FLORESTA ESTADUAL EDMUNDO NAVARRO DE ANDRADE;Estadual;Floresta;Category VI;SP;2002;2002;Decreto 46819 de 11/06/2002;;Rio Claro (SP), Santa Gertrudes (SP);Sim;Não;2.222;2.231;;0;0;0;2.222;0;0;0
853;0000.35.0853;;PARQUE ESTADUAL DE VASSUNUNGA;Estadual;Parque;Category II;SP;1970;1971;Decreto 52546 de 26/10/1970;"Ampliação - Decreto 52720 de 12/03/1971;";Santa Rita do Passa Quatro (SP);Não;Não;2.049;1.484;;0;0;1.372;677;0;0;0
854;0000.35.0854;;PARQUE ESTADUAL DA CAMPINA DO ENCANTADO;Estadual;Parque;Category II;SP;1994;1999;Decreto 8873 de 16/08/1994;"Alteração de nome - Lei ordinária 10316 de 26/05/1999;";Pariquera-Açu (SP);Sim;Não;3.123;2.359;;0;0;0;3.123;0;0;0
855;0000.35.0855;;PARQUE ESTADUAL DE ILHABELA;Estadual;Parque;Category II;SP;1977;1977;Decreto 9414 de 20/01/1977;;Ilhabela (SP);Sim;Não;29.318;0;;0;0;0;29.095;0;0;223
856;0000.35.0856;;PARQUE ESTADUAL DA ILHA ANCHIETA;Estadual;Parque;Category II;SP;1977;1977;Decreto 9629 de 29/03/1977;;Ubatuba (SP);Sim;Sim;822;0;;0;0;0;751;0;0;71
857;0000.35.0857;;ESTAÇÃO ECOLÓGICA DOS CAETETUS;Estadual;Estação Ecológica;Category Ia;SP;1976;1987;Decreto 8346 de 09/08/1976;"Recategorização - Decreto 26718 de 06/02/1987;";Alvinlândia (SP), Gália (SP);Sim;Não;2.219;2.178;;0;0;0;2.219;0;0;0
859;0000.35.0859;;PARQUE ESTADUAL DO JARAGUÁ;Estadual;Parque;Category II;SP;1961;1961;Decreto 38391 de 03/05/1961;;São Paulo (SP), Osasco (SP);Sim;Não;492;488;;0;0;0;492;0;0;0
862;0000.35.0862;;ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS;Estadual;Estação Ecológica;Category Ia;SP;1986;2013;Decreto 24646 de 20/01/1986;"Ampliação - Lei ordinária 14982 de 08/04/2013;";Iguape (SP), Itariri (SP), Miracatu (SP), Peruíbe (SP);Não;Não;84.379;82.000;;0;0;0;84.366;0;0;13
863;0000.35.0863;;ESTAÇÃO ECOLÓGICA VALINHOS;Estadual;Estação Ecológica;Category Ia;SP;1966;1987;Decreto 45.967-D de 28/01/1966;"Recategorização - Decreto 26890 de 12/03/1987;";Valinhos (SP);Não;Não;18;17;;0;0;0;18;0;0;0
870;0000.35.0870;;PARQUE ESTADUAL DO RIO PEIXE;Estadual;Parque;Category II;SP;2002;2002;Decreto 47095 de 18/09/2002;;Dracena (SP), Ouro Verde (SP), Piquerobi (SP), Presidente Venceslau (SP);Sim;Não;7.713;7.720;;0;0;0;7.713;0;0;0
885;0000.16.0885;;FLORESTA ESTADUAL DO AMAPÁ;Estadual;Floresta;Category VI;AP;2006;2006;Lei ordinária 1028 de 12/07/2006;;Amapá (AP), Calçoene (AP), Ferreira Gomes (AP), Mazagão (AP), Oiapoque (AP), Porto Grande (AP), Pracuúba (AP), Serra do Navio (AP), Tartarugalzinho (AP);Não;Não;2.370.313;2.369.400;;2.370.313;0;0;0;0;0;0
886;0000.16.0886;;ÁREA DE PROTEÇÃO AMBIENTAL DA FAZENDINHA;Estadual;Área de Proteção Ambiental;Category V;AP;2004;2004;Lei complementar 873 de 31/12/2004;;Macapá (AP);Não;Sim;149;136;;149;0;0;0;0;0;0
887;0000.27.0887;;ÁREA DE PROTEÇÃO AMBIENTAL DE SANTA RITA;Estadual;Área de Proteção Ambiental;Category V;AL;1984;1984;Lei ordinária 4607 de 19/12/1984;;Coqueiro Seco (AL), Marechal Deodoro (AL), Maceió (AL);Sim;Sim;10.346;10.346;;0;0;0;10.346;0;0;0
888;0000.31.0888;;PARQUE ESTADUAL SERRA NOVA;Estadual;Parque;Category II;MG;2003;2008;Decreto s/n de 21/10/2003;"Ampliação - Decreto s/nº de 29/12/2008;";Mato Verde (MG), Porteirinha (MG), Riacho dos Machados (MG), Rio Pardo de Minas (MG), Serranópolis de Minas (MG);Não;Sim;49.864;1.265.829;;0;0;32.187;17.677;0;0;0
889;0000.31.0889;;PARQUE ESTADUAL CAMPOS ALTOS;Estadual;Parque;Category II;MG;2004;2004;Decreto 43909 de 05/11/2004;;Campos Altos (MG);Não;Não;783;70.884;;0;0;783;0;0;0;0
890;0000.31.0890;;PARQUE ESTADUAL DA SERRA DO CABRAL;Estadual;Parque;Category II;MG;2005;2005;Decreto 44121 de 29/09/2005;;Buenópolis (MG), Joaquim Felício (MG);Não;Sim;22.299;22.494;;0;0;22.299;0;0;0;0
892;0000.31.0892;;REFÚGIO ESTADUAL DE VIDA SILVESTRE RIO PANDEIROS;Estadual;Refúgio de Vida Silvestre;Category III;MG;2004;2004;Decreto 43910 de 05/11/2004;;JANUARIA (MG);Não;Não;6.108;6.102;;0;6.108;0;0;0;0;0
893;0000.31.0893;;ÁREA DE PROTEÇÃO AMBIENTAL FAZENDA CAPITÃO EDUARDO;Estadual;Área de Proteção Ambiental;Category V;MG;2001;2012;Lei ordinária 13958 de 26/07/2001;"Revisão dos limites - Lei ordinária 20372 de 09/08/2012;";Belo Horizonte (MG);Não;Não;515;260;;0;0;489;26;0;0;0
894;0000.31.0894;;ÁREA DE PROTEÇÃO AMBIENTAL COCHÁ E GIBÃO;Estadual;Área de Proteção Ambiental;Category V;MG;2004;2004;Decreto 43911 de 05/11/2004;;Bonito de Minas (MG), JANUARIA (MG);Não;Não;284.836;296.423;;0;0;284.836;0;0;0;0
895;0000.31.0895;;FLORESTA ESTADUAL SÃO JUDAS TADEU;Estadual;Floresta;Category VI;MG;2001;2001;Decreto 41809 de 07/08/2001;;Belo Horizonte (MG);Não;Não;138;141;;0;0;138;0;0;0;0
896;0000.31.0896;;FLORESTA ESTADUAL DO UAIMII;Estadual;Floresta;Category VI;MG;2003;2003;Decreto s/nº de 21/10/2003;;Ouro Preto (MG);Sim;Não;4.293;4.398;;0;0;0;4.293;0;0;0
897;0000.31.0897;;MONUMENTO NATURAL ESTADUAL PETER LUND;Estadual;Monumento Natural;Category III;MG;2005;2005;Decreto 44120 de 29/09/2005;;Cordisburgo (MG);Não;Sim;73;73;;0;0;73;0;0;0;0
898;0000.29.0898;;ESTAÇÃO ECOLÓGICA DO RIO PRETO;Estadual;Estação Ecológica;Category Ia;BA;2005;2005;Decreto 9441 de 06/06/2005;;Santa Rita de Cássia (BA), Formosa do Rio Preto (BA);Não;Não;4.879;4.536;;0;0;4.879;0;0;0;0
